2026/05/28 21:39:17 [recon] runtime_config detected_cores=12 free_ram_gb=3.26 computed_workers=36 max_workers=36 env_override_used=false gomaxprocs=12
2026/05/28 21:39:17 [recon] starting server on :8080
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: mtls-akshay-test-app.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: communityevents.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: ea9d4cf9ed567342edd7d11290e61d453ff2b1c4.console.dev.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: darkstar.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: pstn.stage-us1-ix.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: fusion360.prod.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: webhooks.osaka.us1.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: b0966594cb7edda2600ecdbbc33fe934bb284e2d.console.dev.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: 959a75d0f0afb0ae20aa9fb5ec1a43dfb7c882a3.console.dev.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: gateway1-eng.corp.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: serverless.us1.eak.twilio.com (alive=false)
2026/05/28 23:41:16 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:16 [scan] streamed subdomain: frankfurt-ix.au1.twilio.com (alive=false)
2026/05/28 23:41:16 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:16 [scan] streamed subdomain: singapore.au1.twilio.com (alive=false)
2026/05/28 23:41:16 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:16 [scan] streamed subdomain: sync-insights.xdr.dev-us1.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: webhooks.stage.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: one-console-internal.singapore.us1.twilio.com (alive=false)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: pricing.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: conversational-intelligence-domain.internal-pages.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: bdc28d0d00625c4a54036a15fc3f7d9256cccdf9.console.dev.twilio.com (alive=false)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: interanet-chat.twilio-app.frontline.stage.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: peopleanalytics.prod.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: aim.us1.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: messaging-ratequeue-primary.prod.twilio.com (alive=false)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: proxy.dev-us1.eak.twilio.com (alive=false)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: messaging.stage.twilio.com (alive=true)
2026/05/28 23:41:17 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:17 [scan] streamed subdomain: one-console-internal.dublin.us1.twilio.com (alive=false)
2026/05/28 23:41:19 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:19 [scan] streamed subdomain: chunderw-vpc-gll-au1.twilio.com (alive=true)
2026/05/28 23:41:19 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:19 [scan] streamed subdomain: video-bot.twilio.com (alive=true)
2026/05/28 23:41:20 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:20 [scan] streamed subdomain: gateway1-global-eng-oncall.corp.twilio.com (alive=true)
2026/05/28 23:41:21 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:21 [scan] streamed subdomain: cds.us1.twilio.com (alive=true)
2026/05/28 23:41:21 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:21 [scan] streamed subdomain: 2d5b8877ce49c35e5f92238d6c9c322837aef608.console.dev.twilio.com (alive=false)
2026/05/28 23:41:21 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:21 [scan] streamed subdomain: mqtt-sync.us1.twilio.com (alive=false)
2026/05/28 23:41:24 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:24 [scan] streamed subdomain: gateway-eng.corp.twilio.com (alive=true)
2026/05/28 23:41:24 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:24 [scan] streamed subdomain: spendotron.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:24 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:24 [scan] streamed subdomain: sip.dev-us1-ix.twilio.com (alive=false)
2026/05/28 23:41:29 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:29 [scan] streamed subdomain: ausea06.teams.twilio.com (alive=false)
2026/05/28 23:41:31 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:31 [scan] streamed subdomain: chunderm-dev-us1.dev.twilio.com (alive=false)
2026/05/28 23:41:31 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:31 [scan] streamed subdomain: consumertrust.dev-us1.dev.kafka-v1.twilio.com (alive=true)
2026/05/28 23:41:31 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:31 [scan] streamed subdomain: rtd-es-kibana.stage-us1.eak.twilio.com (alive=false)
2026/05/28 23:41:33 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:33 [scan] streamed subdomain: dev-us2.prod.frontline.stage.twilio.com (alive=true)
2026/05/28 23:41:33 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:33 [scan] streamed subdomain: aused06.teams.twilio.com (alive=false)
2026/05/28 23:41:34 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:34 [scan] streamed subdomain: basic-mwaa.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:35 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:35 [scan] streamed subdomain: ausea05.teams.twilio.com (alive=false)
2026/05/28 23:41:36 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:36 [scan] streamed subdomain: portal1-eng-oncall.corp.twilio.com (alive=true)
2026/05/28 23:41:36 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:36 [scan] streamed subdomain: oneadmin.ie1.twilio.com (alive=true)
2026/05/28 23:41:36 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:36 [scan] streamed subdomain: data-producer-api.ie1.twilio.com (alive=true)
2026/05/28 23:41:37 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:37 [scan] streamed subdomain: snm-emr-gateway.sni.stage-ie1.twilio.com (alive=false)
2026/05/28 23:41:38 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:38 [scan] streamed subdomain: api-twilio.admin.frontline.stage.twilio.com (alive=true)
2026/05/28 23:41:38 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:38 [scan] streamed subdomain: bpdi.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:38 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:38 [scan] streamed subdomain: eventgw.au1.twilio.com (alive=true)
2026/05/28 23:41:38 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:38 [scan] streamed subdomain: kontxt-api.us1.twilio.com (alive=false)
2026/05/28 23:41:39 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:39 [scan] streamed subdomain: odin-bdl-presto.us1.twilio.com (alive=true)
2026/05/28 23:41:39 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:39 [scan] streamed subdomain: 941ae24732da3b8dbde38b040985aad99d5c96a4.console.dev.twilio.com (alive=false)
2026/05/28 23:41:40 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:40 [scan] streamed subdomain: docs-deved-publishing-platform.dev.twilio.com (alive=false)
2026/05/28 23:41:41 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:41 [scan] streamed subdomain: chunderm.ie1.gll.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: chunderw-vpc-gll-au1-ix.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: opensearch.edge-logs.prod.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: canary-service-catalog.stage-au1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: prod-jp2.ad.corp.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: service-catalog.sg1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: preprod-use1-sg-vpce.ad.corp.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: prod-usw2-sg-k8s.ad.corp.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: hooks.dev.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: prod-de1.ad.corp.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: go.stage.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: 63d10d0d23f91cac5fdbe66045c9845257a7ce23.console.dev.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: voice6.us1.eak.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: lazarus0.corp-us1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: ff916959b367d51101a80eecebc86602b9656864.console.dev.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: boxconfig.us1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: taskrouter.dev-us1.eak.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: justcallv1.sip.us1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: lazarus3.corp-us1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: sec-syslog-collector.corp.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: canary-service-catalog.ie1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: canary-service-catalog.us1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: sydney.stage-au1.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: public-sip0.san-jose-ix.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: public-sip2.tokyo.twilio.com (alive=false)
2026/05/28 23:41:43 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:43 [scan] streamed subdomain: sydney.stage-ie1.twilio.com (alive=false)
2026/05/28 23:41:44 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:44 [scan] streamed subdomain: previews.oneadmin.internal.dev.twilio.com (alive=false)
2026/05/28 23:41:44 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:44 [scan] streamed subdomain: internal.stage-us1.twilio.com (alive=false)
2026/05/28 23:41:44 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:44 [scan] streamed subdomain: sip.ashburn.twilio.com (alive=false)
2026/05/28 23:41:44 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:44 [scan] streamed subdomain: public-vip.stage-us1.twilio.com (alive=false)
2026/05/28 23:41:44 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:44 [scan] streamed subdomain: odin-athena.us1.twilio.com (alive=true)
2026/05/28 23:41:44 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:44 [scan] streamed subdomain: 22a0a6b05f27d7057421b5e234194b50134a058e.console.dev.twilio.com (alive=false)
2026/05/28 23:41:45 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:45 [scan] streamed subdomain: testcert33.twilio.com (alive=true)
2026/05/28 23:41:45 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:45 [scan] streamed subdomain: sip.sydney-ix.twilio.com (alive=false)
2026/05/28 23:41:45 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:45 [scan] streamed subdomain: segment.twilio-sip.frontline.stage.twilio.com (alive=true)
2026/05/28 23:41:45 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
